word,dateCreated,dateModified,guid,id,morph_type,cv_pattern,pron_number,pron
mamo krëkëhëmapuu,2013-07-30T10:21:30Z,2018-02-04T12:01:08Z,5a2eea3b-ef95-4277-8c67-b568a8977f85,mamo krëkëhëmapuu_5a2eea3b-ef95-4277-8c67-b568a8977f85,discontiguous phrase,mamo kɾəkəhəmapuu,1,mamo kɾəkəhəmapuu
mamo yakëhu,2013-07-28T19:15:30Z,2018-02-04T12:01:08Z,5d759f62-ed18-4e37-be15-4a5d43d1b4ab,mamo yakëhu_5d759f62-ed18-4e37-be15-4a5d43d1b4ab,discontiguous phrase,mamo jakəhu,1,mamo jakəhu
mayã wakërima,2013-07-28T19:16:21Z,2018-02-04T12:01:08Z,05f64fea-387c-4649-88c2-4350003100de,mayã wakërima_05f64fea-387c-4649-88c2-4350003100de,discontiguous phrase,maɲã wakəɾima,1,maɲã wakəɾima
mo ëkëaɨ,2013-07-30T10:21:39Z,2018-02-04T12:01:08Z,937dd11c-25e5-4699-a734-7a416a8512fd,mo ëkëaɨ_937dd11c-25e5-4699-a734-7a416a8512fd,discontiguous phrase,mo əkəaɨ,1,mo əkəaɨ
nakasi watëkërima,2013-07-28T19:17:28Z,2018-02-04T12:01:08Z,f345c503-d74f-4945-a54d-2f8355fd96b8,nakasi watëkërima_f345c503-d74f-4945-a54d-2f8355fd96b8,discontiguous phrase,nakasi watəkəɾima,1,nakasi watəkəɾima
pakë,2013-06-11T16:18:22Z,2018-02-04T12:01:08Z,f7951af0-4b62-479c-b6c2-a681622e0373,pakë_f7951af0-4b62-479c-b6c2-a681622e0373,root,pakə,1,pakə
pakëh,2013-06-11T16:18:22Z,2018-02-04T12:01:08Z,dd6129df-d03d-4cce-9f52-f5456c99e3b2,pakëh_dd6129df-d03d-4cce-9f52-f5456c99e3b2,root,pakəh,1,pakəh
pakëhëpramaɨ,2013-07-30T10:22:02Z,2018-02-04T12:01:08Z,8feda49d-0970-46e1-972f-32cf95197fd4,pakëhëpramaɨ_8feda49d-0970-46e1-972f-32cf95197fd4,stem,pakəhəpɾamaɨ,1,pakəhəpɾamaɨ
pakëhuu,2013-07-30T10:22:02Z,2018-02-04T12:01:08Z,e1bce735-ca5d-4f77-ad60-85a78e2f4c51,pakëhuu_e1bce735-ca5d-4f77-ad60-85a78e2f4c51,stem,pakəhuu,1,pakəhuu
pëkëpëkëma asi,2013-07-28T19:20:20Z,2018-02-04T12:01:08Z,44f19ac9-c012-4afd-900c-4e88c6f8476e,pëkëpëkëma asi_44f19ac9-c012-4afd-900c-4e88c6f8476e,discontiguous phrase,pəkəpəkəma asi,1,pəkəpəkəma asi
pihi rëkëɨ,2013-07-30T10:22:23Z,2018-02-04T12:01:08Z,8eca360a-0cec-404d-b878-ccee161b1111,pihi rëkëɨ_8eca360a-0cec-404d-b878-ccee161b1111,discontiguous phrase,pihi ɾəkəɨ,1,pihi ɾəkəɨ
pihi rukëhuruu,2013-07-30T10:22:24Z,2018-02-04T12:01:08Z,a4dafb8b-e524-4752-9200-2fd20705e0e9,pihi rukëhuruu_a4dafb8b-e524-4752-9200-2fd20705e0e9,discontiguous phrase,pihi ɾukəhuɾuu,1,pihi ɾukəhuɾuu
pihi yakëhë kuu,2013-07-30T10:22:40Z,2018-02-04T12:01:08Z,73ba37f6-9ed9-4463-bf1e-15aa471e1fcc,pihi yakëhë kuu1_73ba37f6-9ed9-4463-bf1e-15aa471e1fcc,discontiguous phrase,pihi jakəhə kuu,1,pihi jakəhə kuu
pihi yakëhë kuu,2013-07-30T10:22:40Z,2018-02-04T12:01:08Z,66066122-b336-48b4-9a1f-c54cea7531d4,pihi yakëhë kuu2_66066122-b336-48b4-9a1f-c54cea7531d4,discontiguous phrase,pihi jakəhə kuu,1,pihi jakəhə kuu
piyëkë,2013-06-11T16:18:22Z,2018-02-04T12:01:08Z,d8d8fa1c-eb3c-4949-a534-1fda865372e1,piyëkë_d8d8fa1c-eb3c-4949-a534-1fda865372e1,root,pijəkə,1,pijəkə
rëkë,2013-06-11T16:18:23Z,2018-02-04T12:01:08Z,045e4dc2-bb08-49c3-9d01-ae12ad355d95,rëkë3_045e4dc2-bb08-49c3-9d01-ae12ad355d95,root,ɾəkə,1,ɾəkə
rëkë,2013-06-11T16:18:23Z,2018-02-04T12:01:08Z,b6aa8b93-537b-4fc5-a653-f284bbee94d9,rëkë3_b6aa8b93-537b-4fc5-a653-f284bbee94d9,root,ɾəkə,1,ɾəkə
rëkë,2013-06-11T16:18:23Z,2018-02-04T12:01:08Z,c0e33e98-a6b5-43a7-babc-23201326c9d8,rëkë2_c0e33e98-a6b5-43a7-babc-23201326c9d8,root,ɾəkə,1,ɾəkə
rëkëɨ,2013-06-11T16:18:23Z,2018-02-04T12:01:08Z,42cf505b-eefe-4325-b1e3-74619b513604,rëkëɨ_42cf505b-eefe-4325-b1e3-74619b513604,root,ɾəkəɨ,1,ɾəkəɨ
